item_id,item_name,quantity_bought,avg_buy_price,quantity_sold,avg_sell_price,total_volume,profit_per_item,profit_margin_pct,estimated_total_profit
75148,Recipe: Svaard's Breeches,40.0,191.33333333333334,25.0,3939.25,65.0,3747.9166666666665,1958.8414634146338,93697.91666666666
100173,Viper's Abomination Pistol,32.0,55166.0,32.0,72622.2,64.0,17456.199999999997,31.643041003516654,558598.3999999999
76635,Recipe: Svaard's Razor,31.0,123.5,32.0,1546.0,63.0,1422.5,1151.821862348178,45520.0
20372,Demure Dye,51.0,406.0,12.0,1032.3333333333333,63.0,626.3333333333333,154.2692939244663,7515.999999999999
100476,Viper's Abomination Dagger,36.0,52848.2,26.0,69883.66666666667,62.0,17035.466666666674,32.234715026560366,442922.13333333354
73586,Recipe: Svaard's Guise,39.0,498.4,23.0,3488.0,62.0,2989.6,599.8394863563403,68760.8
24664,Superior Sigil of Demon Slaying,31.0,2633.0,31.0,3475.25,62.0,842.25,31.98822635776681,26109.75
70880,Recipe: Svaard's Blade,25.0,214.5,36.0,2280.875,61.0,2066.375,963.3449883449882,74389.5
100868,Viper's Abomination Focus,35.0,6047.0,26.0,10333.444444444445,61.0,4286.444444444445,70.88547121621374,111447.55555555558
9569,18 Slot Invisible Bag,30.0,20517.5,30.0,26941.0,60.0,6423.5,31.307420494699645,192705.0
49430,+7 Agony Infusion,30.0,10622.0,30.0,13667.0,60.0,3045.0,28.66691771794389,91350.0
87076,Bowl of Poultry Satay,20.0,14209.0,39.0,18238.81818181818,59.0,4029.81818181818,28.361025982251952,157162.90909090903
96508,Obliterator,33.0,2718.0,25.0,5426.375,58.0,2708.375,99.64587932303164,67709.375
12234,Vanilla Bean,0.0,,57.0,329.0,57.0,,,
96978,Antique Summoning Stone,0.0,,57.0,13983.833333333334,57.0,,,
72832,Recipe: Svaard's Visage,33.0,885.0,24.0,6303.5,57.0,5418.5,612.2598870056497,130044.0
76968,Recipe: Svaard's Tassets,37.0,101.33333333333333,19.0,2510.6,56.0,2409.2666666666664,2377.565789473684,45776.066666666666
24688,Superior Rune of the Lich,28.0,304.0,28.0,563.0,56.0,259.0,85.19736842105263,7252.0
28591,Rhongomyniad,28.0,6662.0,28.0,10850.4,56.0,4188.4,62.87000900630441,117275.19999999998
96179,Spindrift Rifle,38.0,2477.0,17.0,4018.0,55.0,1541.0,62.21235365361324,26197.0
44960,Bonetti's Rapier,29.0,44848.0,26.0,67782.75,55.0,22934.75,51.13884677131645,596303.5
75709,Recipe: Svaard's Warfists,32.0,115.0,23.0,5874.636363636364,55.0,5759.636363636364,5008.379446640316,132471.63636363638
20483,Old Penny Dye,55.0,42.0,0.0,,55.0,,,
20636,Purple Ice Dye,55.0,374.0,0.0,,55.0,,,
71179,Recipe: Svaard's Warhammer,19.0,47.0,36.0,910.6,55.0,863.6,1837.4468085106382,31089.600000000002
74090,Pile of Flax Seeds,0.0,,55.0,247.0,55.0,,,
95923,Jade Assistant: Gliding Booster 1,29.0,84940.5,25.0,119180.6,54.0,34240.100000000006,40.31068806988422,856002.5000000001
81837,Oyster,0.0,,54.0,14.0,54.0,,,
25990,Serpentstone,35.0,2298.0,19.0,5080.0,54.0,2782.0,121.06179286335946,52858.0
24589,Superior Sigil of Speed,27.0,3851.5,27.0,5436.0,54.0,1584.5,41.13981565623783,42781.5
24609,Superior Sigil of Doom,26.0,37016.0,27.0,47589.5,53.0,10573.5,28.564674735249625,285484.5
102135,Mist-Infused Master Tuning Crystal,53.0,1442.0,0.0,,53.0,,,
24315,Molten Lodestone,0.0,,52.0,3054.0,52.0,,,
103427,Mursaat Obsidian Chunk,0.0,,52.0,147.0,52.0,,,
72655,Opulent Defender,26.0,3277.0,26.0,7435.5,52.0,4158.5,126.89960329569729,108121.0
43466,Potent Hardened Sharpening Stone,0.0,,51.0,1484.0,51.0,,,
47099,The Hunt,25.0,2282.0,25.0,3384.0,50.0,1102.0,48.29097283085013,27550.0
12254,Raspberry,0.0,,50.0,107.0,50.0,,,
102003,Berserker's Serpent's Wrath Longbow,25.0,6227.0,25.0,12028.90909090909,50.0,5801.90909090909,93.17342365359066,145047.72727272726
47092,Rivetwall,24.0,2413.0,25.0,3234.75,49.0,821.75,34.05511811023622,20543.75
76290,Recipe: Svaard's Wristguards,31.0,714.5,18.0,7009.142857142857,49.0,6294.642857142857,880.9857042887134,113303.57142857142
44969,Lord Taeres's Shadow,25.0,36435.0,24.0,50385.5,49.0,13950.5,38.28873336077947,334812.0
24517,Medallion of the Magi,0.0,,49.0,147.2,49.0,,,
24791,Superior Rune of the Wurm,24.0,2304.0,24.0,3176.5,48.0,872.5,37.86892361111111,20940.0
24797,Superior Rune of the Flame Legion,24.0,1757.0,24.0,3043.3333333333335,48.0,1286.3333333333335,73.21191424777082,30872.000000000004
70842,Mordrem Lodestone,0.0,,48.0,182.0,48.0,,,
20448,Antique Olive Dye,47.0,11.0,1.0,25.0,48.0,14.0,127.27272727272727,14.0
36038,Trick-or-Treat Bag,0.0,,48.0,343.3333333333333,48.0,,,
72392,Recipe: Svaard's Shoulderguard,32.0,306.3333333333333,16.0,1882.4285714285713,48.0,1576.095238095238,514.50334214208,25217.52380952381
24339,Corrupted Core,47.0,1098.0,0.0,,47.0,,,
100121,Viper's Abomination Greatsword,26.0,2907.0,21.0,6488.8,47.0,3581.8,123.21293429652565,75217.8
100866,Viper's Abomination Staff,34.0,41680.8,13.0,59858.2,47.0,18177.399999999994,43.61096715993933,236306.19999999992
24275,Pile of Luminous Dust,0.0,,47.0,1361.0,47.0,,,
26380,Hypnotic Scepter,34.0,2234.5,12.0,3453.5,46.0,1219.0,54.55359140747371,14628.0
24729,Superior Rune of Hoelbrak,23.0,2263.0,23.0,3290.6666666666665,46.0,1027.6666666666665,45.41169538960082,23636.33333333333
